Filename	Background file	Start point (in seconds)	SNR
common_voice_he_39771115	noise-free-sound-0819.wav	78.28	3.85
common_voice_he_39771116	noise-free-sound-0472.wav	24.39	5.05
common_voice_he_39771126	noise-free-sound-0247.wav	43.08	1.40
common_voice_he_39771127	noise-free-sound-0244.wav	47.78	2.95
common_voice_he_39771128	noise-free-sound-0262.wav	4.12	3.62
common_voice_he_39771129	noise-free-sound-0015.wav	66.30	3.31
common_voice_he_39771130	noise-free-sound-0340.wav	20.10	0.14
common_voice_he_39771141	noise-free-sound-0732.wav	25.62	3.87
common_voice_he_39771142	noise-free-sound-0600.wav	21.17	1.65
common_voice_he_39771143	noise-free-sound-0322.wav	11.74	2.22
common_voice_he_39771144	noise-free-sound-0729.wav	58.01	1.47
common_voice_he_39771145	noise-free-sound-0568.wav	89.17	3.90
common_voice_he_39771175	noise-free-sound-0560.wav	134.29	3.96
common_voice_he_39771176	noise-free-sound-0153.wav	28.12	5.27
common_voice_he_39771177	noise-free-sound-0234.wav	47.84	1.13
common_voice_he_39771179	noise-free-sound-0442.wav	29.40	4.52
common_voice_he_39771197	noise-free-sound-0726.wav	97.65	3.28
common_voice_he_39771198	noise-free-sound-0698.wav	36.66	2.48
common_voice_he_39771199	noise-free-sound-0248.wav	43.82	4.96
common_voice_he_39771200	noise-free-sound-0634.wav	50.79	1.43
common_voice_he_39771206	noise-free-sound-0234.wav	47.06	2.12
common_voice_he_39771208	noise-free-sound-0531.wav	13.20	0.02
common_voice_he_39771209	noise-free-sound-0685.wav	20.25	2.58
common_voice_he_39771210	noise-free-sound-0592.wav	26.29	5.83
common_voice_he_39771230	noise-free-sound-0644.wav	80.02	5.25
common_voice_he_39771231	noise-sound-bible-0049.wav	9.09	1.04
common_voice_he_39771232	noise-free-sound-0041.wav	30.32	5.49
common_voice_he_39771233	noise-free-sound-0552.wav	60.17	1.51
common_voice_he_39771234	noise-free-sound-0173.wav	100.21	4.39
common_voice_he_39771249	noise-free-sound-0287.wav	35.30	2.44
common_voice_he_39771250	noise-sound-bible-0054.wav	7.85	5.48
common_voice_he_39771251	noise-free-sound-0216.wav	6.36	3.75
common_voice_he_39771252	noise-free-sound-0640.wav	20.87	0.04
common_voice_he_39771253	noise-free-sound-0441.wav	18.54	5.22
common_voice_he_39771261	noise-free-sound-0121.wav	38.61	4.61
common_voice_he_39771262	noise-free-sound-0475.wav	7.86	3.50
common_voice_he_39771263	noise-free-sound-0270.wav	385.61	1.14
common_voice_he_39771264	noise-free-sound-0348.wav	17.46	1.52
common_voice_he_39771265	noise-free-sound-0788.wav	24.97	2.76
common_voice_he_39771290	noise-free-sound-0370.wav	32.95	1.08
common_voice_he_39771291	noise-free-sound-0158.wav	10.53	3.32
common_voice_he_39771292	noise-free-sound-0244.wav	62.59	0.14
common_voice_he_39771293	noise-free-sound-0173.wav	74.29	0.21
common_voice_he_39771294	noise-free-sound-0454.wav	9.47	4.72
common_voice_he_39771305	noise-free-sound-0254.wav	49.84	0.07
common_voice_he_39771306	noise-sound-bible-0049.wav	8.30	0.08
common_voice_he_39771307	noise-free-sound-0684.wav	10.02	3.45
common_voice_he_39771308	noise-free-sound-0117.wav	19.13	4.71
common_voice_he_39771309	noise-free-sound-0446.wav	20.57	1.22
common_voice_he_39771315	noise-free-sound-0042.wav	257.19	2.73
common_voice_he_39771316	noise-free-sound-0634.wav	26.99	0.59
common_voice_he_39771317	noise-free-sound-0335.wav	25.44	0.54
common_voice_he_39771318	noise-free-sound-0836.wav	7.33	1.79
common_voice_he_39771319	noise-free-sound-0110.wav	34.22	5.10
common_voice_he_39778670	noise-free-sound-0698.wav	14.11	5.18
common_voice_he_39778671	noise-free-sound-0726.wav	19.01	2.20
common_voice_he_39778673	noise-free-sound-0636.wav	1.22	4.15
common_voice_he_39778674	noise-free-sound-0184.wav	13.96	1.38
common_voice_he_39778675	noise-free-sound-0552.wav	49.19	1.41
common_voice_he_39778676	noise-free-sound-0370.wav	47.85	2.67
common_voice_he_39778677	noise-free-sound-0708.wav	36.68	5.24
common_voice_he_39778678	noise-free-sound-0729.wav	33.35	2.29
common_voice_he_39778679	noise-free-sound-0500.wav	26.87	5.51
common_voice_he_39778685	noise-free-sound-0308.wav	18.71	5.79
common_voice_he_39778687	noise-free-sound-0301.wav	73.86	5.75
common_voice_he_39778688	noise-free-sound-0634.wav	15.85	1.04
common_voice_he_39778690	noise-free-sound-0723.wav	33.74	4.93
common_voice_he_39778691	noise-free-sound-0249.wav	9.70	5.67
common_voice_he_39778692	noise-free-sound-0430.wav	49.64	1.76
common_voice_he_39778693	noise-free-sound-0480.wav	6.49	4.29
common_voice_he_39778694	noise-free-sound-0324.wav	5.70	4.49
common_voice_he_39778700	noise-free-sound-0699.wav	27.27	1.01
common_voice_he_39778701	noise-free-sound-0457.wav	24.00	0.43
common_voice_he_39778702	noise-free-sound-0151.wav	20.05	3.83
common_voice_he_39778703	noise-free-sound-0804.wav	4.06	1.13
common_voice_he_39778704	noise-free-sound-0239.wav	22.33	1.68
common_voice_he_39778705	noise-free-sound-0335.wav	9.51	3.63
common_voice_he_39778706	noise-free-sound-0293.wav	9.19	1.79
common_voice_he_39778707	noise-free-sound-0254.wav	24.16	1.58
common_voice_he_39778708	noise-free-sound-0030.wav	50.64	0.86
common_voice_he_39778709	noise-free-sound-0030.wav	44.13	5.10
common_voice_he_39785388	noise-free-sound-0681.wav	23.78	3.23
common_voice_he_39785389	noise-free-sound-0446.wav	25.55	4.12
common_voice_he_39785397	noise-free-sound-0020.wav	41.23	3.81
common_voice_he_39785398	noise-free-sound-0244.wav	30.67	5.63
common_voice_he_39785399	noise-free-sound-0780.wav	21.02	1.81
common_voice_he_39785400	noise-free-sound-0433.wav	2.58	0.91
common_voice_he_39785409	noise-free-sound-0784.wav	22.75	0.72
common_voice_he_39785410	noise-free-sound-0383.wav	12.79	5.95
common_voice_he_39785411	noise-free-sound-0500.wav	0.69	2.74
common_voice_he_39785412	noise-free-sound-0522.wav	8.72	1.55
common_voice_he_39785413	noise-free-sound-0080.wav	5.59	0.09
common_voice_he_39785416	noise-free-sound-0270.wav	317.95	0.41
common_voice_he_39785417	noise-free-sound-0232.wav	18.09	0.35
common_voice_he_39785418	noise-free-sound-0106.wav	26.90	2.29
common_voice_he_39785419	noise-free-sound-0594.wav	78.01	1.59
common_voice_he_39785420	noise-free-sound-0141.wav	38.08	2.89
common_voice_he_39785423	noise-free-sound-0042.wav	264.15	5.28
common_voice_he_39785424	noise-free-sound-0287.wav	16.36	2.50
common_voice_he_39785425	noise-free-sound-0531.wav	2.33	2.15
common_voice_he_39785442	noise-free-sound-0131.wav	37.83	5.14
common_voice_he_39785444	noise-free-sound-0287.wav	47.36	3.27
common_voice_he_39785446	noise-free-sound-0644.wav	22.53	3.53
common_voice_he_39785447	noise-free-sound-0649.wav	45.94	5.99
common_voice_he_39785449	noise-free-sound-0011.wav	28.94	1.58
common_voice_he_39785511	noise-free-sound-0661.wav	26.64	2.60
common_voice_he_39785512	noise-free-sound-0119.wav	34.21	3.37
common_voice_he_39785513	noise-free-sound-0165.wav	26.49	2.49
common_voice_he_39785514	noise-free-sound-0461.wav	10.43	5.14
common_voice_he_39785515	noise-sound-bible-0045.wav	50.99	4.18
common_voice_he_39831293	noise-free-sound-0172.wav	43.93	2.95
common_voice_he_39831294	noise-free-sound-0502.wav	15.74	0.42
common_voice_he_39831297	noise-free-sound-0247.wav	18.20	4.90
common_voice_he_39831299	noise-free-sound-0172.wav	4.83	3.54
common_voice_he_39831308	noise-free-sound-0804.wav	35.60	5.13
common_voice_he_39831309	noise-free-sound-0266.wav	10.58	5.95
common_voice_he_39831310	noise-free-sound-0443.wav	25.93	0.19
common_voice_he_39831311	noise-free-sound-0439.wav	6.28	5.92
common_voice_he_39831312	noise-free-sound-0184.wav	15.26	0.81
common_voice_he_39831318	noise-free-sound-0106.wav	135.68	5.99
common_voice_he_39831319	noise-free-sound-0754.wav	49.46	4.25
common_voice_he_39831320	noise-free-sound-0567.wav	19.83	0.05
common_voice_he_39831321	noise-free-sound-0153.wav	5.50	2.88
common_voice_he_39831322	noise-free-sound-0282.wav	2.38	3.61
common_voice_he_39831338	noise-free-sound-0011.wav	27.48	0.98
common_voice_he_39831339	noise-free-sound-0041.wav	23.43	3.40
common_voice_he_39831340	noise-free-sound-0254.wav	5.38	5.45
common_voice_he_39831341	noise-free-sound-0161.wav	27.05	2.94
common_voice_he_39831342	noise-free-sound-0370.wav	14.73	4.11
common_voice_he_39831343	noise-free-sound-0480.wav	12.98	1.53
common_voice_he_39831344	noise-free-sound-0581.wav	35.33	0.98
common_voice_he_39831345	noise-free-sound-0700.wav	11.82	3.22
common_voice_he_39831351	noise-free-sound-0715.wav	45.92	4.44
common_voice_he_39831352	noise-free-sound-0660.wav	35.15	2.46
common_voice_he_39831353	noise-free-sound-0227.wav	8.07	2.17
common_voice_he_39831354	noise-sound-bible-0083.wav	47.96	5.62
common_voice_he_39831355	noise-free-sound-0581.wav	36.50	1.40
common_voice_he_39831361	noise-free-sound-0105.wav	58.49	3.76
common_voice_he_39831362	noise-free-sound-0459.wav	15.48	4.88
common_voice_he_39831363	noise-free-sound-0241.wav	47.58	2.78
common_voice_he_39831364	noise-free-sound-0592.wav	23.47	2.67
common_voice_he_39831365	noise-free-sound-0064.wav	24.86	1.96
common_voice_he_39831376	noise-free-sound-0640.wav	26.42	4.96
common_voice_he_39831377	noise-free-sound-0651.wav	27.75	2.34
common_voice_he_39831378	noise-free-sound-0614.wav	24.23	1.35
common_voice_he_39831379	noise-free-sound-0336.wav	11.29	1.48
common_voice_he_39844331	noise-free-sound-0646.wav	2.80	0.64
common_voice_he_39844332	noise-free-sound-0173.wav	51.06	5.10
common_voice_he_39844333	noise-free-sound-0324.wav	9.38	2.81
common_voice_he_39884492	noise-free-sound-0088.wav	25.47	4.39
common_voice_he_39897721	noise-free-sound-0032.wav	30.10	0.31
common_voice_he_39897722	noise-free-sound-0592.wav	13.06	5.05
common_voice_he_39897723	noise-free-sound-0244.wav	100.16	5.98
common_voice_he_39897724	noise-free-sound-0560.wav	102.20	4.50
common_voice_he_39918055	noise-free-sound-0728.wav	4.22	2.32
common_voice_he_39918056	noise-free-sound-0177.wav	21.14	4.64
common_voice_he_39918057	noise-free-sound-0729.wav	67.26	1.17
common_voice_he_39918058	noise-free-sound-0497.wav	232.37	5.83
common_voice_he_39918059	noise-free-sound-0818.wav	16.62	4.86
common_voice_he_39918065	noise-free-sound-0761.wav	25.53	1.87
common_voice_he_39918066	noise-free-sound-0334.wav	55.05	3.44
common_voice_he_39918067	noise-free-sound-0598.wav	31.14	5.86
common_voice_he_39918068	noise-free-sound-0241.wav	23.13	3.46
common_voice_he_39918069	noise-free-sound-0154.wav	12.82	4.41
common_voice_he_39937156	noise-free-sound-0780.wav	6.19	1.64
common_voice_he_39937157	noise-free-sound-0336.wav	30.43	5.23
common_voice_he_39937158	noise-free-sound-0454.wav	7.23	4.67
common_voice_he_39937159	noise-free-sound-0580.wav	32.05	3.09
common_voice_he_39937160	noise-free-sound-0334.wav	160.85	3.54
common_voice_he_39937161	noise-free-sound-0726.wav	79.20	4.65
common_voice_he_39937162	noise-free-sound-0441.wav	2.31	3.76
common_voice_he_39937163	noise-free-sound-0334.wav	116.97	0.20
common_voice_he_39937164	noise-free-sound-0646.wav	23.24	0.28
common_voice_he_39937165	noise-free-sound-0818.wav	51.12	0.27
common_voice_he_39937166	noise-free-sound-0733.wav	15.59	1.02
common_voice_he_39937167	noise-free-sound-0567.wav	48.38	4.31
common_voice_he_39937168	noise-free-sound-0677.wav	64.85	4.68
common_voice_he_39937169	noise-free-sound-0439.wav	8.04	0.55
common_voice_he_39937170	noise-free-sound-0064.wav	48.21	4.48
common_voice_he_39937171	noise-free-sound-0086.wav	15.72	3.75
common_voice_he_39937172	noise-free-sound-0660.wav	18.17	4.05
common_voice_he_39937173	noise-free-sound-0216.wav	12.39	0.82
common_voice_he_39937174	noise-free-sound-0752.wav	15.81	4.05
common_voice_he_39937175	noise-free-sound-0580.wav	96.56	5.44
common_voice_he_39937181	noise-free-sound-0288.wav	34.52	4.11
common_voice_he_39937182	noise-free-sound-0455.wav	78.37	0.06
common_voice_he_39937203	noise-free-sound-0439.wav	26.31	4.60
common_voice_he_39937204	noise-free-sound-0681.wav	65.92	0.15
common_voice_he_39937205	noise-free-sound-0522.wav	24.00	1.08
common_voice_he_39937206	noise-free-sound-0497.wav	92.42	3.40
common_voice_he_39937207	noise-free-sound-0784.wav	21.54	1.37
common_voice_he_39937264	noise-free-sound-0551.wav	2.34	4.71
common_voice_he_39937265	noise-free-sound-0251.wav	15.22	0.90
common_voice_he_39937266	noise-free-sound-0531.wav	11.42	1.79
common_voice_he_39937267	noise-free-sound-0685.wav	16.14	4.53
common_voice_he_39937268	noise-free-sound-0234.wav	20.74	0.76
common_voice_he_39937269	noise-free-sound-0293.wav	21.30	3.21
common_voice_he_39937270	noise-free-sound-0384.wav	12.32	1.60
common_voice_he_39937271	noise-free-sound-0489.wav	0.26	4.75
common_voice_he_39937272	noise-free-sound-0165.wav	19.33	2.68
common_voice_he_39937278	noise-free-sound-0502.wav	7.64	4.75
common_voice_he_39937279	noise-free-sound-0109.wav	21.95	0.87
common_voice_he_39937280	noise-free-sound-0551.wav	22.90	5.35
common_voice_he_39937281	noise-free-sound-0818.wav	5.72	4.87
common_voice_he_39937282	noise-free-sound-0840.wav	3.12	5.64
common_voice_he_40001946	noise-free-sound-0474.wav	16.53	5.19
common_voice_he_40001947	noise-free-sound-0184.wav	2.76	3.18
common_voice_he_40001948	noise-free-sound-0457.wav	39.08	0.82
common_voice_he_40001949	noise-free-sound-0841.wav	82.78	5.25
common_voice_he_40001950	noise-free-sound-0671.wav	7.37	3.23
common_voice_he_40001956	noise-free-sound-0531.wav	30.07	4.61
common_voice_he_40001957	noise-free-sound-0158.wav	54.02	2.00
common_voice_he_40001958	noise-sound-bible-0075.wav	8.46	2.47
common_voice_he_40001959	noise-free-sound-0461.wav	40.14	5.36
common_voice_he_40001960	noise-free-sound-0784.wav	13.12	1.54
common_voice_he_40001961	noise-free-sound-0698.wav	17.41	2.24
common_voice_he_40001962	noise-free-sound-0382.wav	7.98	1.15
common_voice_he_40001963	noise-free-sound-0795.wav	9.06	5.72
common_voice_he_40001964	noise-free-sound-0787.wav	13.51	1.97
common_voice_he_40001965	noise-sound-bible-0048.wav	53.23	0.73
common_voice_he_40001966	noise-free-sound-0752.wav	7.04	0.43
common_voice_he_40001967	noise-free-sound-0644.wav	72.55	1.40
common_voice_he_40001968	noise-free-sound-0280.wav	33.78	0.15
common_voice_he_40001970	noise-free-sound-0787.wav	12.30	5.75
common_voice_he_40001972	noise-free-sound-0280.wav	16.78	1.16
common_voice_he_40067774	noise-free-sound-0606.wav	58.45	1.22
common_voice_he_40067775	noise-free-sound-0439.wav	24.41	0.99
common_voice_he_40067777	noise-free-sound-0101.wav	80.56	4.69
common_voice_he_40067778	noise-free-sound-0700.wav	27.42	5.81
common_voice_he_40137979	noise-free-sound-0102.wav	60.56	4.74
common_voice_he_40137980	noise-sound-bible-0054.wav	7.26	0.95
common_voice_he_40137981	noise-free-sound-0646.wav	18.39	4.74
common_voice_he_40137982	noise-free-sound-0519.wav	15.46	3.65
common_voice_he_40137983	noise-free-sound-0623.wav	2.01	4.19
common_voice_he_40612852	noise-free-sound-0502.wav	12.48	1.23
common_voice_he_40612855	noise-free-sound-0728.wav	72.40	5.49
common_voice_he_40612862	noise-free-sound-0418.wav	12.40	5.39
common_voice_he_40612863	noise-free-sound-0383.wav	11.94	1.16
common_voice_he_40612866	noise-free-sound-0442.wav	47.54	0.87
common_voice_he_40612867	noise-free-sound-0455.wav	149.27	2.52
common_voice_he_40630793	noise-free-sound-0795.wav	9.56	4.50
common_voice_he_40630794	noise-free-sound-0723.wav	53.47	2.32
common_voice_he_40630795	noise-free-sound-0634.wav	55.79	0.48
common_voice_he_40858574	noise-free-sound-0066.wav	31.37	2.12
common_voice_he_40858577	noise-free-sound-0321.wav	26.61	4.81
common_voice_he_40858579	noise-free-sound-0733.wav	21.14	4.23
common_voice_he_40909673	noise-free-sound-0278.wav	19.38	5.20
common_voice_he_40909674	noise-free-sound-0184.wav	8.31	5.45
common_voice_he_40909676	noise-free-sound-0634.wav	16.71	1.55
common_voice_he_40909677	noise-free-sound-0647.wav	4.39	5.97
common_voice_he_40909678	noise-free-sound-0644.wav	3.64	0.55
common_voice_he_40909679	noise-free-sound-0232.wav	30.60	2.03
common_voice_he_40909680	noise-free-sound-0671.wav	6.26	5.42
common_voice_he_40909681	noise-free-sound-0232.wav	36.66	4.63
common_voice_he_40909682	noise-free-sound-0012.wav	24.83	1.91
common_voice_he_40909688	noise-free-sound-0321.wav	4.86	1.37
common_voice_he_40909689	noise-free-sound-0137.wav	45.65	4.92
common_voice_he_40909690	noise-free-sound-0568.wav	32.00	5.59
common_voice_he_40909691	noise-free-sound-0249.wav	8.23	0.95
common_voice_he_40909692	noise-free-sound-0001.wav	27.95	2.46
common_voice_he_40909693	noise-free-sound-0443.wav	7.37	4.54
common_voice_he_40909694	noise-free-sound-0336.wav	15.20	0.30
common_voice_he_40909695	noise-free-sound-0301.wav	175.51	2.21
common_voice_he_40909696	noise-free-sound-0370.wav	66.56	0.00
common_voice_he_40909697	noise-free-sound-0726.wav	8.05	0.29
common_voice_he_40909699	noise-free-sound-0733.wav	17.68	5.59
common_voice_he_40909700	noise-free-sound-0836.wav	28.88	4.95
common_voice_he_40909701	noise-free-sound-0480.wav	30.46	2.66
common_voice_he_40909702	noise-free-sound-0614.wav	13.48	1.25
common_voice_he_40972184	noise-free-sound-0677.wav	64.49	1.86
common_voice_he_40972185	noise-free-sound-0842.wav	38.72	2.21
common_voice_he_40972186	noise-free-sound-0055.wav	17.25	2.74
common_voice_he_40972188	noise-free-sound-0674.wav	2.19	2.66
common_voice_he_40972199	noise-free-sound-0059.wav	20.78	2.17
common_voice_he_40972200	noise-free-sound-0165.wav	25.70	4.35
common_voice_he_40972201	noise-free-sound-0572.wav	64.34	4.38
common_voice_he_40972202	noise-free-sound-0784.wav	2.15	2.14
common_voice_he_40972203	noise-free-sound-0035.wav	6.50	1.57
common_voice_he_40977316	noise-free-sound-0804.wav	41.89	1.56
common_voice_he_40977318	noise-free-sound-0754.wav	45.32	5.06
common_voice_he_40978528	noise-free-sound-0761.wav	22.29	5.72
common_voice_he_40978535	noise-free-sound-0266.wav	17.51	0.17
common_voice_he_40978542	noise-free-sound-0651.wav	40.60	3.89
common_voice_he_40978546	noise-free-sound-0430.wav	36.75	2.59
common_voice_he_40978553	noise-sound-bible-0049.wav	41.88	4.29
common_voice_he_40978560	noise-free-sound-0459.wav	11.43	5.51
common_voice_he_40978567	noise-free-sound-0184.wav	6.32	1.50
common_voice_he_40978573	noise-free-sound-0605.wav	3.21	2.14
common_voice_he_40978575	noise-free-sound-0743.wav	27.44	1.22
common_voice_he_40978592	noise-free-sound-0288.wav	36.97	1.62
common_voice_he_40978609	noise-free-sound-0804.wav	0.97	1.53
common_voice_he_41019361	noise-free-sound-0636.wav	15.46	0.95
common_voice_he_41019364	noise-free-sound-0153.wav	25.19	5.18
common_voice_he_41019415	noise-free-sound-0322.wav	12.68	0.13
common_voice_he_41019416	noise-free-sound-0142.wav	9.24	1.13
common_voice_he_41019419	noise-free-sound-0035.wav	11.62	2.61
common_voice_he_41019455	noise-free-sound-0172.wav	43.72	5.08
common_voice_he_41019456	noise-free-sound-0086.wav	24.02	2.66
common_voice_he_41019457	noise-free-sound-0828.wav	48.97	1.04
common_voice_he_41066670	noise-sound-bible-0045.wav	41.26	4.72
common_voice_he_41066672	noise-free-sound-0241.wav	42.43	5.40
common_voice_he_41066673	noise-free-sound-0551.wav	5.92	2.15
common_voice_he_41486333	noise-free-sound-0708.wav	3.22	0.03
common_voice_he_41486334	noise-free-sound-0048.wav	211.96	5.32
common_voice_he_41486336	noise-free-sound-0248.wav	4.99	3.29
common_voice_he_41486337	noise-free-sound-0340.wav	2.14	5.85
common_voice_he_41486343	noise-free-sound-0035.wav	8.97	0.58
common_voice_he_41486344	noise-free-sound-0155.wav	6.50	4.94
common_voice_he_41486345	noise-free-sound-0020.wav	11.75	4.72
common_voice_he_41486346	noise-free-sound-0278.wav	16.20	3.54
common_voice_he_41486347	noise-free-sound-0443.wav	1.40	4.07
common_voice_he_41486353	noise-free-sound-0066.wav	12.24	0.49
common_voice_he_41486354	noise-free-sound-0030.wav	31.30	2.68
common_voice_he_41486355	noise-free-sound-0546.wav	19.27	1.28
common_voice_he_41486356	noise-free-sound-0475.wav	9.89	0.93
common_voice_he_41486357	noise-free-sound-0381.wav	16.82	5.75
common_voice_he_41486358	noise-free-sound-0752.wav	19.96	5.19
common_voice_he_41486359	noise-free-sound-0533.wav	29.49	1.93
common_voice_he_41486360	noise-free-sound-0106.wav	10.94	3.66
common_voice_he_41486361	noise-free-sound-0059.wav	24.01	5.63
common_voice_he_41486362	noise-free-sound-0076.wav	30.72	1.60
common_voice_he_41486368	noise-free-sound-0446.wav	16.77	1.20
common_voice_he_41486369	noise-free-sound-0308.wav	39.07	2.11
common_voice_he_41486370	noise-free-sound-0269.wav	17.57	3.83
common_voice_he_41486371	noise-free-sound-0173.wav	69.71	4.17
common_voice_he_41486372	noise-free-sound-0715.wav	15.33	2.71
common_voice_he_41486373	noise-free-sound-0709.wav	7.89	3.79
common_voice_he_41486374	noise-free-sound-0064.wav	4.60	3.23
common_voice_he_41486375	noise-free-sound-0322.wav	17.28	2.75
common_voice_he_41486376	noise-free-sound-0298.wav	0.92	4.53
common_voice_he_41486377	noise-free-sound-0489.wav	27.19	1.95
common_voice_he_41486383	noise-free-sound-0787.wav	16.58	4.71
common_voice_he_41486384	noise-free-sound-0674.wav	14.36	4.17
common_voice_he_41486385	noise-free-sound-0011.wav	8.17	4.99
common_voice_he_41486386	noise-free-sound-0293.wav	32.32	1.52
common_voice_he_41486387	noise-free-sound-0828.wav	6.05	0.48
common_voice_he_41605155	noise-free-sound-0475.wav	5.33	5.72
common_voice_he_41605156	noise-free-sound-0651.wav	5.16	2.08
common_voice_he_41605157	noise-free-sound-0020.wav	28.55	0.12
common_voice_he_41605158	noise-free-sound-0457.wav	17.48	2.93
common_voice_he_41605159	noise-free-sound-0287.wav	19.84	0.45
common_voice_he_41605160	noise-free-sound-0842.wav	146.66	3.01
common_voice_he_41605161	noise-free-sound-0684.wav	93.09	5.15
common_voice_he_41605162	noise-sound-bible-0048.wav	33.03	3.81
common_voice_he_41605163	noise-free-sound-0232.wav	2.46	3.03
common_voice_he_41605164	noise-free-sound-0813.wav	59.28	5.57
common_voice_he_41605165	noise-free-sound-0232.wav	22.81	4.09
common_voice_he_41605168	noise-free-sound-0636.wav	20.91	3.13
common_voice_he_41605169	noise-free-sound-0581.wav	12.16	4.69
common_voice_he_41605170	noise-free-sound-0568.wav	56.35	1.92
common_voice_he_41605171	noise-free-sound-0230.wav	9.45	2.26
common_voice_he_41605172	noise-free-sound-0324.wav	23.08	3.36
common_voice_he_41605173	noise-free-sound-0086.wav	20.08	0.16
common_voice_he_41605176	noise-free-sound-0001.wav	33.71	4.95
common_voice_he_41605177	noise-free-sound-0235.wav	71.28	5.87
common_voice_he_41605178	noise-free-sound-0304.wav	40.06	1.56
common_voice_he_41605179	noise-free-sound-0336.wav	8.17	5.83
common_voice_he_41605180	noise-free-sound-0828.wav	21.15	4.73
common_voice_he_41605181	noise-free-sound-0443.wav	11.92	3.69
common_voice_he_41605183	noise-free-sound-0086.wav	14.23	4.00
common_voice_he_41605184	noise-free-sound-0572.wav	95.58	5.39
common_voice_he_41605185	noise-free-sound-0418.wav	4.89	1.06
common_voice_he_41605186	noise-free-sound-0674.wav	5.99	3.78
common_voice_he_41605188	noise-free-sound-0640.wav	23.37	3.93
common_voice_he_41605190	noise-free-sound-0011.wav	12.25	2.71
common_voice_he_41605191	noise-free-sound-0593.wav	40.27	5.54
common_voice_he_41605192	noise-free-sound-0647.wav	39.44	5.93
common_voice_he_41605193	noise-free-sound-0497.wav	98.77	2.75
common_voice_he_41605194	noise-free-sound-0454.wav	29.04	2.02
common_voice_he_41605195	noise-free-sound-0551.wav	25.87	0.20
common_voice_he_41605196	noise-free-sound-0383.wav	26.16	2.92
common_voice_he_41605197	noise-sound-bible-0045.wav	51.61	5.67
common_voice_he_41605199	noise-free-sound-0165.wav	27.20	3.00
common_voice_he_41605200	noise-free-sound-0430.wav	24.82	4.64
common_voice_he_41605201	noise-free-sound-0754.wav	71.04	0.69
common_voice_he_41605202	noise-free-sound-0384.wav	131.17	0.26
common_voice_he_41605203	noise-free-sound-0551.wav	5.89	0.97
common_voice_he_41605204	noise-free-sound-0280.wav	53.45	1.16
common_voice_he_41605205	noise-free-sound-0455.wav	106.69	5.31
common_voice_he_41605206	noise-free-sound-0172.wav	22.01	5.73
common_voice_he_41605208	noise-free-sound-0383.wav	18.39	2.58
common_voice_he_41605209	noise-free-sound-0651.wav	5.97	0.50
common_voice_he_41605211	noise-free-sound-0293.wav	1.09	1.70
common_voice_he_41605212	noise-free-sound-0840.wav	44.42	0.80
common_voice_he_41605213	noise-free-sound-0015.wav	22.97	2.10
common_voice_he_41605214	noise-free-sound-0788.wav	28.25	5.88
common_voice_he_41616556	noise-free-sound-0261.wav	74.43	5.02
common_voice_he_41616557	noise-free-sound-0381.wav	9.39	3.97
common_voice_he_41616558	noise-free-sound-0321.wav	71.83	4.73
common_voice_he_41616575	noise-free-sound-0322.wav	18.93	0.67
common_voice_he_41616579	noise-sound-bible-0054.wav	9.74	3.83
common_voice_he_41616580	noise-free-sound-0282.wav	28.46	4.03
common_voice_he_41616584	noise-free-sound-0287.wav	44.95	1.17
common_voice_he_41616601	noise-free-sound-0660.wav	25.60	2.83
common_voice_he_41616602	noise-free-sound-0249.wav	32.40	2.01
common_voice_he_41616604	noise-free-sound-0290.wav	3.22	4.67
common_voice_he_41616612	noise-free-sound-0155.wav	12.09	1.54
common_voice_he_41616613	noise-free-sound-0161.wav	30.09	3.84
common_voice_he_41616614	noise-free-sound-0235.wav	183.30	1.35
common_voice_he_41616616	noise-free-sound-0002.wav	64.34	2.46
common_voice_he_41616617	noise-free-sound-0130.wav	5.46	4.91
common_voice_he_41616619	noise-free-sound-0254.wav	3.87	2.47
common_voice_he_41616625	noise-free-sound-0533.wav	14.17	3.84
common_voice_he_41616629	noise-free-sound-0243.wav	24.57	0.94
common_voice_he_41616635	noise-free-sound-0287.wav	34.45	3.30
common_voice_he_41616636	noise-free-sound-0230.wav	20.01	3.59
common_voice_he_41616637	noise-free-sound-0725.wav	12.14	0.56
common_voice_he_41616638	noise-free-sound-0042.wav	180.64	4.24
common_voice_he_41616640	noise-free-sound-0522.wav	56.68	2.42
common_voice_he_41616642	noise-free-sound-0282.wav	29.46	4.68
common_voice_he_41616643	noise-free-sound-0102.wav	49.95	0.55
common_voice_he_41616644	noise-free-sound-0795.wav	25.62	2.81
common_voice_he_41616655	noise-free-sound-0545.wav	0.60	5.18
common_voice_he_41616656	noise-free-sound-0184.wav	11.32	4.30
common_voice_he_41616667	noise-free-sound-0726.wav	18.97	4.36
common_voice_he_41616687	noise-free-sound-0436.wav	37.57	2.06
common_voice_he_41616688	noise-free-sound-0278.wav	17.09	3.95
common_voice_he_41616697	noise-free-sound-0614.wav	6.72	5.50
common_voice_he_41616704	noise-free-sound-0153.wav	34.63	4.77
common_voice_he_41616707	noise-free-sound-0384.wav	62.70	0.17
common_voice_he_41616718	noise-free-sound-0640.wav	14.14	4.77
common_voice_he_41616728	noise-free-sound-0436.wav	41.41	1.65
common_voice_he_41616729	noise-sound-bible-0060.wav	3.83	4.65
