Reference	Hypothesis	Count
חִפַּשְׂתִּי	חיפשתי	1
יַהֲלוֹמִים	יהלומים.	1
מקומות	מקומות.	1
"""""""כָּל"	הלילה	1
הַלַּיְלָה	ישבנו	1
יָשַׁבְנוּ	בתוך	1
בְּתוֹךְ	היער,	1
"הַיַּעַר,"""""	הוסיף	1
הוֹסִיף	יוסי	1
יוֹסִי’לִי	לי	1
"לְסַפֵּר"""	לספר.	1
חֲכָמִים	חכמים	1
הַנִּשְׁמָרִים	הנשמרים	1
מִסְּמָלִים	מסמלים.	1
נכון.	נכון,	1
<inserted>	חדר	1
חדר־הקריאה.	הקריאה.	1
נִכְנַסְנוּ	נכנסנו	1
לַמִּסְעָדָה	למסעדה	1
וְאָכַלְנוּ	ואכלנו	1
שָׁם	שם	1
אֲרוּחַת	ארוחת	1
בּוֹקֶר.	בוקר.	1
לְדָנִי	לדני	1
דָּנִי	דני.	1
יוֹצְאִים	יוצאים	1
מִחוּץ	מחוץ	1
לָעִיר	לעיר	1
וּמְחַפְּשִׂים.	ומחפשים.	1
פָּגַע	פגע	1
בַּבָּשָׂר	בבשר,	1
וְהָעוֹר	והעור	1
מוּצָק	מוצק	1
הָיָה	היה.	1
הַבְּשׂוֹרָה	הבשורה	1
תַּחַת	תחת	1
הַשָּׁמַיִם	השמיים?	1
הבין-לאומיים	הבינלאומיים	1
הקיימים	הקיימים.	1
<inserted>	הרי	1
הֲרֵיהוּ	הוא	1
מְדַבֵּר	מדבר	1
בִּשְׂפַת	בשפת	1
סוּסִים.	סוסים.	1
לכך	לכך.	1
הַמַּחְלָקוֹת	המחלקות	1
חַיָּיבוֹת	חייבות	1
לָגֶשֶׁת	לגשת	1
בְּמֶרֶץ	במרץ	1
לָעֲבוֹדָה	לעבודה	1
וּלְהִשְׁתַּדֵּל	ולהשתדל	1
הַכּוֹחוֹת	הכוחות	1
לְהַגְדִּיל	להגדיל	1
חֶלְקָן.	חלקן.	1
בִּנְשִׁימָה	בנשימה	1
אַחַת,	אחת	1
פָּרָה	פרה.	1
סִיפְּרָה	סיפרה	1
שֶאַתָה	שאתה	1
